uniqueID,CategoryGroupName,CG_Parameter,C_Parameter,PLU,Description,Price,URL
505,Membership,CASCTGP,MEMBER,10120001,Individual Membership,99,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120002,Senior Membership,79,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120003,Family Membership,199,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120004,Family Plus Membership,250,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120005,Associate Membership,500,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
7638,Web Ticketing,WEBTIC,TIC,10110101,Adult  Admission,29.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TIC
7638,Web Ticketing,WEBTIC,TIC,10110103,Child  Admission,19.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TIC
7638,Web Ticketing,WEBTIC,TIC,10110104,Youth  Admission,24.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TIC
7638,Web Ticketing,WEBTIC,TIC,10110105,Student Admission,24.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TIC
7638,Web Ticketing,WEBTIC,TIC,10110106,Senior Admission,24.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TIC
10852,Web Donations,WEBDON,DONATIONS,10450002,Donation $25,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
10852,Web Donations,WEBDON,DONATIONS,10450003,Donation $50,50,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
10852,Web Donations,WEBDON,DONATIONS,10450005,Donation $150,150,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
10852,Web Donations,WEBDON,DONATIONS,10450006,Donation $250,250,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
10852,Web Donations,WEBDON,DONATIONS,10450007,Donation $500,500,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
10852,Web Donations,WEBDON,DONATIONS,10450008,Donation $1000,1000,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBDON&C=DONATIONS
505,Membership,CASCTGP,MEMBER,10120007,Explorers Membership,1000,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
7541,Web Ticketing,WEBTIC,LECT,10180034,Nightlife - Adult,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180035,Nightlife - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180027,Nightlife and Lecture - Adult,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180028,Nightlife and Lecture - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180080,Explore the Park,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7598,Web Ticketing,WEBTIC,REGS,10171001,AstroViz - Workshop,100,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=REGS
7598,Web Ticketing,WEBTIC,REGS,10171002,AstroViz - Dinner and Concert,90,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=REGS
7541,Web Ticketing,WEBTIC,LECT,10180081,Author Event,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180084,The Living Roof Project,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
